Source,Target,Weight
0.0,178.0,0.8316989745966735
0.0,567.0,0.8853864856572065
0.0,823.0,0.8655820758474533
0.0,378.0,0.8925308394344483
0.0,133.0,0.8534904607468893
0.0,6.0,0.8997872267632594
0.0,793.0,0.6757175741807413
0.0,351.0,0.8604917401917935
0.0,418.0,0.8360647945068255
0.0,698.0,0.8849038729069172
0.0,277.0,0.8858336417482053
0.0,681.0,0.8124722905128797
0.0,513.0,0.8864852247740981
0.0,607.0,0.8891312434791007
0.0,156.0,0.8256039246864947
0.0,875.0,0.8959850361717385
0.0,730.0,0.8071211474794988
0.0,1010.0,0.8577681254936829
0.0,321.0,0.9031420548677236
0.0,828.0,0.8593057192957563
0.0,165.0,0.8881209322917414
0.0,737.0,0.8088907040668497
0.0,461.0,0.8894136076879753
0.0,578.0,0.8778278057885629
0.0,847.0,0.8463962707437499
0.0,204.0,0.8697932915757862
0.0,78.0,0.8880931866090824
0.0,553.0,0.9197074289767748
0.0,619.0,0.8275050831278674
0.0,258.0,0.8852297219563527
0.0,202.0,0.8829233779041961
0.0,47.0,0.8966063292247632
0.0,1013.0,0.9303663009790648
0.0,779.0,0.8929556133768175
0.0,111.0,0.8456437844123319
0.0,419.0,0.8600234459831045
0.0,829.0,0.805728040439778
0.0,142.0,0.8962018010612401
0.0,290.0,0.8697882581383176
0.0,722.0,0.8925385067956032
0.0,118.0,0.8840511586718887
1.0,302.0,0.7219941748605219
1.0,813.0,0.6957045266293704
1.0,269.0,0.6980913088247704
1.0,585.0,0.76216762256707
1.0,345.0,0.7550966950329905
1.0,4.0,0.7454805369085936
1.0,90.0,0.701793355729519
1.0,759.0,0.6879056283907488
1.0,812.0,0.7231721792557517
1.0,328.0,0.7144984841164321
1.0,509.0,0.8408671396740072
1.0,367.0,0.7016943957939585
1.0,108.0,0.6982724486028644
1.0,649.0,0.7350711213964303
1.0,370.0,0.6874374937182661
1.0,702.0,0.6945739007659927
1.0,749.0,0.7741304904489532
1.0,766.0,0.7127884410570723
1.0,416.0,0.7854956039994511
1.0,213.0,0.7713944695298371
2.0,842.0,0.8671202089974894
2.0,11.0,0.9124108961907933
2.0,237.0,0.8965291275281879
2.0,826.0,0.8119152817561022
2.0,430.0,0.8504085495873498
2.0,537.0,0.9137130754334323
2.0,434.0,0.8906831280744523
2.0,309.0,0.8940242084987107
2.0,794.0,0.8540846559930998
2.0,102.0,0.7941576889311839
2.0,501.0,0.8946552396918663
2.0,65.0,0.8461129904190783
2.0,835.0,0.893509097382003
2.0,481.0,0.8858966219878299
2.0,636.0,0.9112770135585107
2.0,919.0,0.8902040789368585
2.0,340.0,0.8774016521222813
2.0,544.0,0.8900985050191116
2.0,518.0,0.8870781331608898
2.0,772.0,0.8770573622901996
2.0,803.0,0.8934713741200617
2.0,72.0,0.9141328219622294
2.0,460.0,0.9001119288929462
2.0,708.0,0.8398437336275943
2.0,347.0,0.820905157961124
2.0,748.0,0.8545790861327502
2.0,1019.0,0.874096555988926
2.0,973.0,0.8543636015901968
2.0,744.0,0.9022042432258107
2.0,441.0,0.8852487589906934
2.0,109.0,0.8724385979883702
2.0,650.0,0.8318525531420009
2.0,375.0,0.8552076903746126
2.0,560.0,0.9102556113272541
2.0,1016.0,0.8601657806571781
2.0,816.0,0.8993604203310025
2.0,62.0,0.8733423058498981
2.0,491.0,0.8938047553643961
2.0,323.0,0.8987432216184599
2.0,891.0,0.8971678755716938
2.0,231.0,0.8940675738144954
3.0,120.0,0.8752067637497596
3.0,652.0,0.8540233361246571
3.0,536.0,0.8357105244028028
3.0,455.0,0.8808437098459643
3.0,62.0,0.8585941396918335
3.0,964.0,0.8664633007582718
3.0,123.0,0.8591642025494776
3.0,210.0,0.877118495613253
3.0,967.0,0.9347650088944174
3.0,154.0,0.8086333429866714
3.0,635.0,0.8693220799896724
3.0,733.0,0.8573928010275728
3.0,326.0,0.8017045105292034
3.0,740.0,0.8500328447878606
3.0,921.0,0.7923537563043987
3.0,80.0,0.884530861767019
3.0,330.0,0.7402211994636365
3.0,744.0,0.8540179548552926
3.0,968.0,0.8544377139494657
3.0,263.0,0.8528489566716457
3.0,952.0,0.8893910246297586
3.0,298.0,0.8485765220647533
3.0,626.0,0.8517625993383797
3.0,986.0,0.881289163536154
3.0,563.0,0.8485846829549709
4.0,302.0,0.6765213563372958
4.0,674.0,0.6382310956403472
4.0,585.0,0.7331004448696888
4.0,345.0,0.6494974727099474
4.0,805.0,0.6625441249147614
4.0,328.0,0.7332640205862804
4.0,569.0,0.6365453480982912
4.0,749.0,0.7403362462023633
4.0,714.0,0.6678065176715535
4.0,108.0,0.6958278937930118
4.0,84.0,0.6406578698886658
4.0,649.0,0.6639124215592398
4.0,261.0,0.6702903877291113
4.0,370.0,0.6713114384896524
4.0,509.0,0.6773703992016973
