Id,Label
451.0,negotiations
452.0,building
453.0,fair
454.0,january
455.0,statement
456.0,unified
457.0,prize
458.0,dr
459.0,enemies
460.0,living
461.0,research
462.0,thing
463.0,based
464.0,de
465.0,improvement
466.0,december
467.0,girl
468.0,spirit
469.0,film
470.0,king
471.0,area
472.0,moment
473.0,inaugurated
474.0,social
475.0,lost
476.0,syrian
477.0,mentioned
478.0,asserts
479.0,village
480.0,gaulle
481.0,group
482.0,close
483.0,tons
484.0,subject
485.0,station
486.0,intentions
487.0,pounds
488.0,shown
489.0,zambia
490.0,cultural
491.0,realise
492.0,president
493.0,moslem
494.0,family
495.0,service
496.0,big
497.0,turkey
498.0,north
499.0,brothers
500.0,masses
501.0,consolidating
502.0,friendship
503.0,capital
504.0,leaders
505.0,resources
506.0,november
507.0,withdrawal
508.0,late
509.0,hotel
510.0,strong
511.0,ceremony
512.0,treaty
513.0,business
514.0,position
515.0,poetry
516.0,quality
517.0,desire
518.0,cover
519.0,measures
520.0,sector
521.0,killed
522.0,iraq
523.0,oriental
524.0,hard
525.0,aspects
526.0,threat
527.0,success
528.0,development
529.0,promise
530.0,road
531.0,political
532.0,public
533.0,needed
534.0,opposed
535.0,industrialisation
536.0,pressure
537.0,received
538.0,embassy
539.0,american
540.0,party
541.0,rest
542.0,institute
543.0,action
544.0,night
545.0,steel
546.0,bloc
547.0,past
548.0,rhodesia
549.0,principles
550.0,command
551.0,art
552.0,amount
553.0,european
554.0,interview
555.0,raised
556.0,link
557.0,collection
558.0,long
559.0,helped
560.0,free
561.0,field
562.0,gulf
563.0,immediately
564.0,agent
565.0,ready
566.0,solve
567.0,due
568.0,held
569.0,previous
570.0,age
571.0,note
572.0,recognise
573.0,hour
574.0,women
575.0,case
576.0,latin
577.0,abu
578.0,governorate
579.0,nasser
580.0,defendant
581.0,carried
582.0,uar
583.0,training
584.0,belonging
585.0,employees
586.0,suez
587.0,rights
588.0,allowed
589.0,required
590.0,revolutionary
591.0,principal
592.0,process
593.0,black
594.0,concentrated
595.0,domination
596.0,earth
597.0,depends
598.0,told
599.0,secret
600.0,possibility
601.0,johnson
602.0,clear
603.0,premier
604.0,believed
605.0,yemeni
606.0,picture
607.0,ahead
608.0,declared
609.0,wait
610.0,friends
611.0,face
612.0,kuwaiti
613.0,respect
614.0,square
615.0,introduced
616.0,law
617.0,bread
618.0,youth
619.0,century
620.0,ruler
621.0,decision
622.0,sand
623.0,built
624.0,basis
625.0,hussein
626.0,kuwait
627.0,beginning
628.0,elimination
629.0,extent
630.0,western
631.0,great
632.0,involved
633.0,radio
634.0,eshkol
635.0,system
636.0,approved
637.0,act
638.0,formation
639.0,encourage
640.0,thought
641.0,troops
642.0,iraqi
643.0,plo
644.0,situation
645.0,admitted
646.0,freedom
647.0,feel
648.0,character
649.0,salah
650.0,released
651.0,aswan
652.0,end
653.0,abba
654.0,began
655.0,paper
656.0,manner
657.0,terms
658.0,including
659.0,return
660.0,scene
661.0,stop
662.0,defined
663.0,find
664.0,put
665.0,baath
666.0,popular
667.0,movement
668.0,resistance
669.0,gamal
670.0,summit
671.0,struggle
672.0,devoted
673.0,fleet
674.0,organization
675.0,effect
676.0,invitation
677.0,dancing
678.0,sale
679.0,countries
680.0,published
681.0,lecture
682.0,paid
683.0,spite
684.0,words
685.0,facilities
686.0,considered
687.0,section
688.0,commented
689.0,news
690.0,scale
691.0,islamic
692.0,exhibition
693.0,accompanied
694.0,stamps
695.0,jordanian
696.0,page
697.0,blood
698.0,europe
699.0,french
700.0,move
701.0,visit
702.0,tobacco
703.0,finance
704.0,historical
705.0,occupied
706.0,bear
707.0,elements
708.0,communique
709.0,asia
710.0,selection
711.0,son
712.0,style
713.0,died
714.0,customs
715.0,parliament
716.0,small
717.0,mind
718.0,wealth
719.0,united
720.0,executive
721.0,hope
722.0,solution
723.0,appointed
724.0,succeeded
725.0,world
726.0,reason
727.0,rise
728.0,ten
729.0,strike
730.0,democratic
731.0,sanctions
732.0,opposition
733.0,diplomatic
734.0,step
735.0,ii
736.0,objective
737.0,port
738.0,airport
739.0,press
740.0,zone
741.0,level
742.0,connection
743.0,witnessed
744.0,man
745.0,caused
