Source,Target,Id,Weight
0.0,41.0,0,0.9083647100457848
0.0,40.0,1,0.9411881729521596
0.0,142.0,2,0.937747085627464
0.0,54.0,3,0.9077749281835562
0.0,106.0,4,0.9100529069833903
0.0,143.0,5,0.9494519111350392
0.0,26.0,6,0.9174250190771117
0.0,166.0,7,0.9561807862686241
0.0,129.0,8,0.9255016411245389
1.0,70.0,9,0.9020760451165543
1.0,111.0,10,0.9406194564910918
1.0,12.0,11,0.9070426081489542
1.0,154.0,12,0.9396557567317444
1.0,123.0,13,0.9318211141596705
1.0,108.0,14,0.9273669990719773
1.0,136.0,15,0.9204874728278465
1.0,160.0,16,0.9494672650317463
1.0,102.0,17,0.9346066600861391
1.0,195.0,18,0.9426793111403262
1.0,8.0,19,0.9329823854279035
1.0,91.0,20,0.9334525099674121
1.0,150.0,21,0.9352368382254269
2.0,79.0,22,0.9136721711181096
2.0,55.0,23,0.9123205754711436
2.0,142.0,24,0.9113635661577782
2.0,73.0,25,0.911736129664081
2.0,177.0,26,0.9190224397098095
3.0,111.0,27,0.9421184917758614
3.0,18.0,28,0.9388854742005488
3.0,168.0,29,0.9148656765562949
3.0,36.0,30,0.9434039165218994
3.0,171.0,31,0.9191837026488997
3.0,69.0,32,0.9420502446688137
3.0,150.0,33,0.9348709066024803
3.0,13.0,34,0.9205621731442015
4.0,111.0,35,0.9331866570811516
4.0,141.0,36,0.9423462879577809
4.0,13.0,37,0.9432707634039321
4.0,28.0,38,0.9301740606411246
4.0,119.0,39,0.9295526279891538
4.0,132.0,40,0.9169628160533475
5.0,197.0,41,0.8748909376768357
5.0,184.0,42,0.8660353213201484
5.0,63.0,43,0.8477829986795185
5.0,135.0,44,0.856117885178147
5.0,21.0,45,0.8722375055717071
6.0,61.0,46,0.8362371530685746
6.0,167.0,47,0.7428064883201008
6.0,104.0,48,0.8039209347658409
6.0,85.0,49,0.851657998723717
6.0,117.0,50,0.8716041297873902
6.0,33.0,51,0.8684923644137501
6.0,93.0,52,0.8478351673299653
7.0,111.0,53,0.9428389390894716
7.0,154.0,54,0.9349843442270463
7.0,51.0,55,0.9365082648483718
7.0,142.0,56,0.9387813301883795
7.0,57.0,57,0.9327731143415142
7.0,177.0,58,0.920776929142668
7.0,65.0,59,0.939553409215246
7.0,99.0,60,0.9235550902197774
7.0,49.0,61,0.9484162128806144
8.0,160.0,62,0.9311262961778323
8.0,42.0,63,0.9238933840797832
8.0,195.0,64,0.9353096206119601
8.0,102.0,65,0.9243442449238102
8.0,79.0,66,0.9281095301486939
8.0,94.0,67,0.9178322887115596
9.0,175.0,68,0.8008829806449849
9.0,169.0,69,0.6751933883588419
9.0,149.0,70,0.8242397167421275
9.0,72.0,71,0.7851719622178764
9.0,92.0,72,0.7586026848141249
9.0,187.0,73,0.7791033151303863
10.0,156.0,74,0.9571282343051893
10.0,178.0,75,0.9476255392938387
10.0,52.0,76,0.9251182185763597
10.0,163.0,77,0.9231298112621753
10.0,135.0,78,0.9410307739007249
10.0,45.0,79,0.9111923404324034
10.0,96.0,80,0.855965837109132
10.0,21.0,81,0.8773191516936043
10.0,81.0,82,0.9264632186764524
11.0,188.0,83,0.9266775863389676
11.0,88.0,84,0.9279130387098792
11.0,113.0,85,0.90163272349689
11.0,131.0,86,0.9100596870772387
11.0,27.0,87,0.8946499923838609
11.0,150.0,88,0.911142307867786
12.0,160.0,89,0.9182905254601321
12.0,191.0,90,0.9101727594062736
12.0,108.0,91,0.9206058761947371
12.0,158.0,92,0.8998905592495872
12.0,171.0,93,0.9063930501668396
13.0,111.0,94,0.9300774342380236
13.0,174.0,95,0.9168241290238152
13.0,84.0,96,0.923399358306382
13.0,132.0,97,0.9244032748704639
14.0,77.0,98,0.8862784480252016
14.0,30.0,99,0.8899814330760313
14.0,16.0,100,0.9074579862995386
14.0,196.0,101,0.8874593559027156
14.0,48.0,102,0.8723662901198868
15.0,124.0,103,0.9470609037454686
15.0,174.0,104,0.9153133592000757
15.0,119.0,105,0.9427469964659545
15.0,103.0,106,0.9464949052131959
15.0,95.0,107,0.9013021479226617
15.0,55.0,108,0.9489751878798542
15.0,22.0,109,0.9186111811083423
15.0,181.0,110,0.9160447929825041
15.0,164.0,111,0.9552745089496322
16.0,30.0,112,0.9348357852064786
16.0,196.0,113,0.8787665923692969
16.0,140.0,114,0.87077003789743
16.0,124.0,115,0.9044721478827834
16.0,48.0,116,0.9336595902877705
16.0,97.0,117,0.9051881166777809
17.0,59.0,118,0.9189583950895286
17.0,143.0,119,0.937962252711374
17.0,144.0,120,0.9320590462053524
17.0,40.0,121,0.9422579330479713
17.0,61.0,122,0.9409177212084285
17.0,115.0,123,0.9320431816628866
17.0,137.0,124,0.8976167235851614
17.0,85.0,125,0.9310961365810295
17.0,166.0,126,0.9345598534005919
17.0,71.0,127,0.9314088740528097
17.0,129.0,128,0.9267222352816679
17.0,46.0,129,0.933402318190997
18.0,160.0,130,0.9317352543155651
18.0,139.0,131,0.8779935534903438
18.0,61.0,132,0.9337092158665907
18.0,138.0,133,0.8943092056434667
18.0,190.0,134,0.9389421779263266
18.0,115.0,135,0.9379773014305478
18.0,55.0,136,0.935293463351826
18.0,170.0,137,0.9275782824884439
18.0,88.0,138,0.8946737691254901
18.0,150.0,139,0.9500479389816279
19.0,165.0,140,0.8473892816352606
19.0,94.0,141,0.8541751951518022
19.0,113.0,142,0.8555248048691462
19.0,59.0,143,0.8574016054738667
19.0,38.0,144,0.8474086157944426
20.0,173.0,145,0.9012417152738685
20.0,42.0,146,0.925031675501314
20.0,113.0,147,0.9353737654075621
20.0,120.0,148,0.936247745985162
20.0,37.0,149,0.9436154146884252
20.0,38.0,150,0.9343295113609389
20.0,79.0,151,0.9462364778546983
20.0,103.0,152,0.953316547403938
20.0,191.0,153,0.9235600188860692
